Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
random_forest,0.8947152806226956,0.654320987654321,0.693717277486911,0.6734434561626429,0.9193128621884765
ann,0.8680868496517821,0.5579150579150579,0.756544502617801,0.6422222222222222,0.8998726062822139
logistic_regression,0.8594838181073331,0.5351351351351351,0.7774869109947644,0.6339381003201707,0.9088372081196332
decision_tree,0.8594838181073331,0.5422993492407809,0.6544502617801047,0.5931198102016607,0.7759866656156472
